processors,time[s],dx,dt
32,5219.7723,3.3333333333333335e-05,1e-08
28,5276.9134,3.3333333333333335e-05,1e-08
24,5326.9815,3.3333333333333335e-05,1e-08
16,5633.2529,3.3333333333333335e-05,1e-08
12,6481.2403,3.3333333333333335e-05,1e-08
8,6884.2246,3.3333333333333335e-05,1e-08
4,9244.2601,3.3333333333333335e-05,1e-08
2,13673.1430,3.3333333333333335e-05,1e-08
1,26231.9184,3.3333333333333335e-05,1e-08
